ID	DOCULECT	CONCEPT	TOKENS	MORPHEMES	COMPOUNDS	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
1461	Beijing	I	w o ²¹³	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1462	Ha_erbin	I	w o ²¹³	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1463	Jinan	I	v ɔ ⁴⁵	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1464	Rongcheng	I	w ɔ ²¹⁴	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1465	Taiyuan	I	ɣ ɤ ⁵³	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1466	Xi_an	I	ŋ ɤ ⁵³	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1467	Chengdu	I	ŋ o ⁵³	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1468	Nanjing	I	o ¹¹	I:1ST/我	Pron	313	463	1	233	我	我		我	n t	
1469	Jixi	I	ɔ ²¹³	I:1ST/我	Pron	313	463	1	233	我	我		我	n t	
1470	Suzhou	I	ŋ əu ²³¹	I:1ST/吾	Pron	314	465	2	235	吾	吾		我	i n t	
1471	Wenzhou	I	ŋ̍/ŋ Ø/ə Ø/ŋ ²⁴	I:1ST/我	Pron	313	463	1	233	我	我		我	i n c t	
1472	Changsha	I	ŋ o ⁴¹	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1473	Loudi	I	ŋ̍/ŋ Ø/ə Ø/ŋ ⁴²	I:1ST/我	Pron	313	463	1	233	我	我		我	i n c t	
1474	Nanchang	I	ŋ o ²¹³	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1475	Meixian	I	ŋ ai ¹¹	I:1ST/佳	Pron	315	464	3	234	佳	佳		我	i n t	
1476	Guilin	I	w o ²³	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1477	Guangzhou	I	ŋ ɔ ²³	I:1ST/我	Pron	313	463	1	233	我	我		我	i n t	
1478	Fuzhou	I	ŋ w ai ³²	I:1ST/我	Pron	313	463	1	233	我	我		我	i m n t	
1479	Xiamen	I	ŋ w a ⁵³	I:1ST/我	Pron	313	463	1	233	我	我		我	i m n t	
148	Beijing	all	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
149	Ha_erbin	all	tɕʰ ɥ a n ²⁴ + p u ⁵³	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound
150	Jinan	all	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound
151	Rongcheng	all	tsʰ j ɐ n ³⁵ + p u ³³⁴	complete/全 part/部	N N	54 55	1	4	1	全部兒	全 部		全部	i m n c t + i n t	copula-compound
152	Taiyuan	all	tɕʰ ɥ e ²¹ + p u ⁴⁵	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound
153	Xi_an	all	tsʰ w æ̃ ²⁴ + p u ⁴⁴	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	copula-compound
154	Chengdu	all	tɕʰ ɥ a n ²¹ + p u ²¹³	complete/全 part/部	A N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound
155	Nanjing	all	tɕʰ ɥ e n ¹³ + p u ⁴⁴	complete/全 part/部	N N	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	copula-compound
